Fluxo de Trabalho;Responsável;Sprint;Tipo de História;Sub-Classificação;Pontuação;Duração estimada;Duração total do impedimento;Motivo do impedimento;Squad;Aberto em;Finalizado em
Ativado - Disponível para uso;Desenvolvedor 17;_R2_25;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;07/04/2025 16:25:21;30/04/2025 11:14:32
Ativado - Disponível para uso;Desenvolvedor 19;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 2 semanas - 10 dias úteis (P);719478;Infraestrutura/Ambiente;Squad 5;07/04/2025 19:09:59;06/05/2025 09:23:52
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 5;07/04/2025 19:17:19;23/04/2025 09:52:54
Ativado - Disponível para uso;Desenvolvedor 14;2025-R2-SP01;Dados e Analytics;SOR   System of Records;;Até 1 semana - 5 dias úteis (PP);0;;Squad 1;08/04/2025 10:42:24;22/04/2025 16:45:43
Ativado - Disponível para uso;Desenvolvedor 29;A - Sprint 1 R2 2025;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;08/04/2025 11:05:05;23/04/2025 10:04:28
Ativado - Disponível para uso;Desenvolvedor 17;_R2_25;Parametrização de Software;Parametrizações;;Até 2 semanas - 10 dias úteis (P);0;;Squad 7;08/04/2025 13:58:11;10/04/2025 11:07:18
Ativado - Disponível para uso;Desenvolvedor 41;A - Sprint 1 R2 2025;Atividades Pura-Infra;Pura-Infra;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;08/04/2025 16:12:05;05/05/2025 17:27:41
Ativado - Disponível para uso;Desenvolvedor 18;_R2_25;Parametrização de Software;Parametrizações;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;09/04/2025 09:26:51;15/04/2025 16:05:07
Ativado - Disponível para uso;Desenvolvedor 1;A - Sprint 1 R2 2025;Atividades Pura-Infra;Pura-Infra;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;09/04/2025 10:30:51;28/04/2025 09:40:55
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;1;Até 1 semana - 5 dias úteis (PP);845812;Dependências externas;Squad 2;09/04/2025 14:55:44;25/04/2025 09:33:28
Ativado - Disponível para uso;Desenvolvedor 5;_R2_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);579438;Dependências externas;Squad 3;10/04/2025 11:00:59;16/05/2025 19:43:29
Ativado - Disponível para uso;Desenvolvedor 23;_R2_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;10/04/2025 11:11:24;14/05/2025 14:01:48
Ativado - Disponível para uso;Desenvolvedor 21;A - Sprint 1 R2 2025;Produto Digital com Software;Alteração de funcionalidade ;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;10/04/2025 11:11:59;22/04/2025 10:28:58
Ativado - Disponível para uso;Desenvolvedor 33;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);88925;Falta de informações/Erros de definição;Squad 2;11/04/2025 10:44:03;12/05/2025 09:45:45
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 1 RELEASE 2;Atividades Pura-Infra;Pura-Infra;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;11/04/2025 11:43:58;28/04/2025 09:57:43
Ativado - Disponível para uso;Desenvolvedor 21;A - Sprint 1 R2 2025;Produto Digital com Software;Alteração de funcionalidade ;8;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;11/04/2025 15:15:26;22/04/2025 10:29:28
Ativado - Disponível para uso;Desenvolvedor 28; - Sprint 1_R2_2025;Produto Digital com Software;Alteração de funcionalidade ;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 4;11/04/2025 18:19:31;25/04/2025 17:39:47
Ativado - Disponível para uso;Desenvolvedor 13;_R2_25;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;15/04/2025 10:11:03;16/04/2025 11:39:05
Ativado - Disponível para uso;Desenvolvedor 33;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;15/04/2025 10:27:10;25/04/2025 11:31:48
